firmware name,router 't_model_name'
AC1450,Netgear AC1450
DIR868L,D-Link DIR868L
DSL-AC68U,Asus DSL-AC68U
EA6200,Linksys EA6200
EA6350v1,Linksys EA6350v1
EA6350v2,Linksys EA6350v2
EA6400,Cisco Linksys EA6400
EA6500v2,Cisco Linksys EA6500v2
EA6700,Cisco Linksys EA6700
EA6900,Linksys EA6900
F9K1113v2,Belkin F9K1113v2
R1D,Xiaomi MiWiFi
R6200v2,Netgear R6200v2
R6250,Netgear R6250
R6300v2,Netgear R6300v2
R6400,Netgear R6400
R6400v2,Netgear R6400v2
R6700v1,Netgear R6700v1
R6700v3,Netgear R6700v3
R6900,Netgear R6900
R7000,Netgear R7000
R7900,Netgear R7900
R8000,Netgear R8000
RT-AC1750_B1,Asus RT-AC1750 B1
RT-AC1900P,Asus RT-AC1900P
RT-AC1900U,Asus RT-AC1900U
RT-AC3100,Asus RT-AC3100
RT-AC3200,Asus RT-AC3200
RT-AC5300,Asus RT-AC5300
RT-AC56S,Asus RT-AC56S
RT-AC56U,Asus RT-AC56U
RT-AC66U_B1,Asus RT-AC66U B1
RT-AC67U,Asus RT-AC67U
RT-AC68U,Asus RT-AC68P/U B1 | Asus RT-AC68R/U | Asus RT-AC68U B2 | Asus RT-AC68U C1 | Asus RT-AC68U V3
RT-AC88U,Asus RT-AC88U
RT-N18U,Asus RT-N18U
RT-N66U_C1,Asus RT-N66U C1
TendaAC15,Tenda AC15
TendaAC18,Tenda AC18
WS880,Huawei WS880
WZR1750,** Buffalo WZR-1750DHP **
XR300,Netgear XR300
