Cisco-M10v2,Cisco M10 v2.0
DIR865L,D-Link DIR-865L
E1000v2-v21,Linksys E1000 v2.1
E1200v1,Linksys E1000 v1
E1200v2,Linksys E1000 v2.0
E1500,Linksys E1500 v1.0
E1550,Linksys E1550 v1.0
E2000,Linksys E2000
E2500,Linksys E2500 v1.0
E2500v3,Linksys E2500 v1/v2/v3
E3000,Linksys E3000
E3200,Linksys E3200 v1.0
E4200,Linksys E4200 v1
E800,Linksys E800 v1.0
E900,Linksys E900 v1.0
F5D8235v3,Belkin N F5D8235-4 v3
F7D3301,Belkin Share Max N300 (F7D3301/F7D7301) v1
F7D3302,Belkin Share N300 (F7D3302/F7D7302) v1
F7D4302,Belkin Play N600 (F7D4302/F7D8302) v1
F9K1102,???
Netgear-3500Lv2,???
Netgear-R6300V1,Netgear R6300 V1
Netgear-WNDR4500V1,Netgear WNDR4500 V1
Netgear-WNDR4500V2,Netgear WNDR4500 V2
RT-AC66U,Asus RT-AC66U
RT-N66U,Asus RT-N66U
RTN53,Asus RT-N53
TDN80,Tenda N80
TendaN6,Tenda N6
TendaN60,Tenda N60
W1800R,Tenda W1800R
WNDR3400,Netgear WNDR3400
WNDR3400v2,Netgear WNDR3400v2
WNDR3400v3,Netgear WNDR3400v3
WNDR3700v3,Netgear WNDR3700v3
WNDR4000,Netgear WNDR4000
